login_hour,new_device,new_location,failed_logins,files_downloaded,commands_executed,session_duration,weekend_login,risk
11,0,0,3,1980,24,122,1,Medium
11,0,1,7,1780,40,221,1,High
19,0,1,5,1674,32,270,1,High
18,1,1,1,2152,44,190,0,High
19,1,1,7,1120,7,146,1,High
15,1,0,1,3605,0,267,1,Medium
14,1,0,3,1692,46,43,1,High
23,1,1,1,374,46,22,0,Medium
6,0,1,0,4622,56,196,1,High
15,0,0,5,4064,41,26,1,High
1,0,1,5,7,41,27,0,Medium
2,0,1,1,750,23,33,0,Low
17,1,1,0,4369,9,231,0,High
21,0,0,6,1528,50,93,0,Medium
2,0,0,7,2720,13,218,0,Medium
18,0,1,5,3247,20,196,1,High
13,0,1,7,3724,31,41,0,High
15,1,0,6,461,9,85,0,Medium
19,0,0,4,2133,38,6,0,Medium
10,1,1,2,2781,2,70,0,Medium
21,0,0,5,3057,59,221,0,High
21,0,0,0,2017,58,212,1,Medium
19,0,1,4,3849,47,12,0,High
7,0,1,2,2404,32,142,1,High
6,0,0,8,2268,18,60,1,Medium
0,1,0,5,371,39,117,1,High
1,1,0,4,4631,48,22,1,High
2,0,0,6,267,21,24,0,Low
4,1,0,1,1897,26,254,0,Medium
22,1,1,4,1691,5,187,1,High
4,1,1,4,1077,50,89,0,High
22,0,1,2,2054,20,291,0,Medium
13,0,0,2,1479,9,278,1,Medium
2,1,1,4,769,47,100,0,High
0,1,0,2,3447,31,87,1,High
16,1,1,4,313,60,106,0,High
20,0,0,2,1960,34,237,1,Medium
14,0,1,5,34,48,244,1,High
9,0,1,8,1744,9,180,0,Medium
14,1,1,2,1764,4,118,1,High
22,0,0,8,1796,0,266,0,Medium
8,1,0,6,2468,16,64,1,High
22,1,1,5,2484,17,45,0,High
13,1,0,7,2231,52,201,1,High
10,0,1,2,3290,47,233,1,High
16,0,1,8,2391,18,263,0,High
9,1,1,7,1546,40,256,0,High
17,0,0,1,4884,32,278,1,Medium
1,0,1,0,2917,19,207,1,High
6,1,1,8,1102,18,265,1,High
4,0,0,6,4670,24,105,0,Medium
2,0,1,1,3375,48,272,0,High
23,1,0,6,1989,22,53,1,High
23,0,0,0,4387,44,42,1,Medium
14,0,0,1,2879,47,48,0,Medium
23,1,1,2,4371,4,79,0,Medium
11,1,0,8,912,56,235,0,Medium
16,1,1,4,1819,49,48,0,High
14,1,1,8,2618,32,77,1,High
14,1,1,2,2360,1,124,0,Medium
22,1,0,3,272,8,21,0,Medium
16,0,0,6,2038,52,117,1,High
18,0,0,0,542,31,25,1,Low
7,0,0,4,376,39,84,1,Medium
5,0,0,8,522,50,110,1,Medium
12,1,0,7,109,20,203,0,Medium
18,1,1,5,4456,23,164,0,High
9,0,0,5,187,6,217,1,Medium
9,0,0,8,2010,29,66,1,Medium
13,0,0,3,4968,60,182,1,High
12,1,1,8,2298,26,42,0,High
4,0,0,3,3756,54,87,0,High
10,0,0,4,1392,11,83,1,Medium
8,0,1,0,613,31,77,0,Medium
2,1,0,0,2320,45,194,0,High
20,1,1,7,4151,22,69,1,High
4,0,1,1,3614,6,150,0,Medium
14,1,1,3,545,45,78,1,High
22,1,1,2,2220,22,229,0,High
15,1,0,3,1916,48,106,0,High
20,0,1,7,3350,10,138,0,Medium
4,1,0,3,155,0,153,0,Medium
1,1,0,0,3328,60,298,0,High
17,0,1,0,3870,23,161,0,Medium
13,0,0,5,4524,8,125,0,Medium
11,1,1,6,671,48,300,1,High
10,0,1,0,4668,44,121,1,High
14,1,1,6,2067,13,11,0,High
19,0,0,2,4907,22,123,1,Medium
16,1,1,8,446,60,137,1,High
2,0,1,4,4526,8,291,0,High
19,1,1,8,4918,21,35,1,High
19,0,1,5,2264,54,141,1,High
13,0,1,4,3340,15,69,0,Medium
6,0,1,8,1059,27,209,0,High
18,1,0,2,2242,18,290,0,Medium
5,0,0,6,4320,59,178,1,High
17,1,1,4,1314,12,57,0,High
2,1,0,2,1434,21,107,0,Medium
4,0,1,4,2853,53,234,1,High
19,0,1,7,2478,25,12,1,High
2,0,1,5,310,40,163,1,High
23,0,1,4,2321,43,294,1,High
20,1,1,7,1350,42,291,1,High
23,1,0,4,2971,40,160,1,High
16,0,0,0,740,21,192,1,Low
17,0,0,3,344,59,261,1,Medium
22,1,0,6,914,27,190,1,Medium
13,1,0,4,2004,15,232,1,High
14,1,1,3,1992,23,187,0,High
13,0,0,8,1775,38,53,0,Medium
20,0,0,6,1343,30,235,1,Medium
0,0,1,8,1436,46,283,0,High
3,0,1,2,726,22,61,0,Low
17,0,0,8,4343,53,230,1,High
7,0,1,0,3257,12,6,0,Medium
2,0,0,6,3618,17,219,1,High
9,0,1,8,1515,33,294,1,High
5,0,1,8,3866,48,206,0,High
3,0,1,7,1105,35,92,0,High
18,0,0,5,1507,32,240,0,High
7,0,1,7,4641,41,240,0,High
16,0,1,4,3940,16,186,1,High
18,1,1,7,3179,21,187,1,High
19,1,1,8,2973,39,119,1,High
20,1,0,7,2907,33,134,0,High
19,0,0,2,712,30,60,0,Low
7,1,1,0,3995,14,250,1,High
23,1,0,7,2515,57,109,0,High
22,1,1,7,1636,9,17,1,High
4,0,0,8,2304,30,6,1,Medium
11,1,1,5,2527,35,126,1,High
9,0,1,1,889,44,224,1,Medium
12,1,1,5,2179,6,181,0,High
6,1,0,6,2087,18,235,1,High
12,0,0,0,665,16,300,1,Low
8,0,0,8,149,19,272,0,Low
18,1,1,4,3965,10,99,1,High
23,1,0,7,1386,42,149,1,High
17,0,1,7,2261,14,286,0,High
21,0,0,0,1197,33,63,0,Medium
3,0,0,5,3131,57,287,1,High
15,1,0,7,814,44,33,0,Medium
13,1,0,1,4525,50,215,1,High
20,0,0,5,649,47,128,0,Medium
16,0,0,8,644,42,55,0,Medium
12,0,0,7,1430,54,122,0,Medium
17,1,0,0,4501,19,75,0,Medium
21,0,1,3,3366,20,182,1,High
22,1,1,2,4317,33,202,0,High
8,0,0,0,3969,7,97,0,Low
13,0,1,6,1823,45,167,1,High
9,1,0,3,1618,53,260,0,High
5,1,0,7,1674,1,147,0,Medium
20,0,1,2,7,28,228,0,Low
7,0,0,4,3423,12,187,0,Medium
13,1,0,5,1655,39,213,1,High
17,1,0,8,929,54,239,1,High
16,1,1,6,398,9,27,1,Medium
15,1,1,7,1952,57,155,1,High
2,0,0,8,610,44,285,1,Medium
9,0,1,0,4566,41,232,0,High
9,1,1,8,1184,2,281,1,High
12,1,0,5,872,24,80,0,Medium
3,1,0,1,1928,28,181,1,High
1,1,0,8,4457,51,142,0,High
8,0,1,3,3392,26,73,1,High
22,0,0,2,3470,30,134,0,Low
4,1,1,7,2407,7,98,1,High
22,1,0,8,2487,12,23,0,Medium
14,0,1,0,4234,20,97,0,Medium
14,1,1,3,2825,41,162,0,High
2,0,0,1,1134,38,35,1,Medium
9,0,1,5,129,14,233,1,Medium
0,0,0,7,2009,0,106,1,Medium
4,0,1,7,1622,20,238,1,High
21,0,1,5,4034,1,262,1,High
3,0,0,7,469,50,223,0,Medium
3,0,1,8,3813,4,176,1,High
23,0,0,5,2829,22,59,0,Medium
15,0,1,2,2103,31,270,1,High
2,0,0,5,2167,1,222,1,High
20,0,1,5,4395,34,79,1,High
23,1,0,8,1753,22,292,1,High
13,0,0,4,3229,7,300,0,Medium
5,1,0,3,1009,51,18,0,High
2,0,1,5,1899,21,158,1,High
1,0,1,8,1815,35,47,1,High
10,1,1,0,4801,51,170,1,High
9,1,0,3,4152,3,282,0,High
6,1,0,1,4002,57,185,0,High
0,0,1,3,905,11,98,1,Medium
0,1,0,7,2014,16,179,0,High
10,1,1,4,4104,60,43,1,High
0,1,1,0,156,44,164,0,Medium
21,1,1,6,916,27,36,0,Medium
14,1,0,8,2280,10,258,1,High
0,1,1,8,4464,48,143,1,High
19,1,1,0,3711,60,142,0,High
13,0,1,5,4130,13,101,0,Medium
6,1,1,4,3523,38,282,1,High
13,0,1,4,3028,13,202,0,High
19,0,0,6,4635,40,265,0,High
4,0,0,7,3449,0,200,1,High
19,0,1,0,1704,18,131,1,Medium
16,0,1,2,401,56,79,1,Medium
7,1,0,4,488,52,109,0,Medium
10,0,1,3,2130,44,33,1,High
22,0,1,0,763,38,192,0,Medium
17,1,1,7,4324,23,36,0,High
7,0,0,0,4648,11,217,1,Medium
9,1,0,0,1765,11,17,0,Medium
11,0,1,1,709,26,288,1,Medium
10,1,0,6,81,26,159,1,Medium
21,1,0,4,4303,20,91,1,High
6,1,0,5,3463,16,40,0,Medium
18,0,0,0,554,44,111,1,Low
12,0,0,1,1858,38,207,0,Medium
19,1,1,3,119,25,115,1,Medium
16,1,1,1,1916,31,98,0,High
12,1,1,0,1772,3,225,0,High
23,0,1,3,4507,15,119,0,Medium
10,0,0,0,91,42,280,1,Medium
11,1,1,3,1900,24,235,0,High
7,1,0,4,3761,14,154,0,Medium
4,1,0,8,3310,0,132,1,High
13,0,0,0,2942,27,99,0,Low
4,1,0,4,2429,60,54,1,High
0,0,1,2,1798,59,101,1,High
16,0,0,5,1886,36,48,0,Medium
18,1,1,7,3993,20,30,0,High
15,0,1,5,4667,5,162,0,Medium
12,1,1,8,1300,12,98,1,High
11,0,1,1,2099,52,91,1,High
20,1,0,8,1270,18,90,0,Medium
21,0,0,2,1025,54,241,0,Medium
12,1,1,6,60,8,128,1,Medium
20,1,0,2,726,12,18,1,Low
23,1,0,5,1192,23,202,0,High
12,0,0,6,2434,21,146,1,Medium
17,1,0,3,1893,38,160,0,High
18,1,0,0,186,28,111,1,Low
8,1,0,5,3544,7,268,1,High
17,1,0,6,695,57,35,1,Medium
4,0,0,8,1674,16,61,0,Medium
11,1,1,5,3783,19,46,0,High
8,1,1,7,1971,17,16,0,High
4,0,1,8,979,26,45,0,Medium
0,1,1,5,4242,41,25,0,High
8,1,1,0,3397,12,117,0,Medium
4,0,1,3,4343,60,169,1,High
9,1,0,1,678,7,6,1,Low
15,1,0,5,3904,1,159,1,High
11,0,0,5,2553,52,37,1,High
7,1,0,4,823,10,22,0,Medium
21,0,1,7,4071,15,43,1,High
2,0,0,4,103,40,15,0,Medium
4,0,0,4,1290,22,116,1,Medium
11,1,1,0,3585,35,275,0,High
17,1,0,7,4043,9,74,1,High
7,1,0,1,2428,45,215,1,High
12,1,0,2,3981,26,239,0,Medium
23,1,1,0,2843,54,284,0,High
1,1,1,6,1968,22,137,0,High
9,1,0,5,3299,23,41,0,Medium
14,1,0,6,2211,41,139,1,High
23,0,1,6,765,54,261,0,Medium
19,1,0,0,4573,24,130,0,Medium
8,0,1,5,4003,55,83,1,High
21,0,0,6,3505,6,70,1,Medium
18,1,0,8,968,7,237,1,Medium
20,1,1,8,2269,38,299,1,High
10,0,0,3,127,11,116,0,Low
0,1,1,3,3042,45,263,1,High
23,1,1,6,1699,47,248,0,High
2,1,1,3,884,59,187,0,High
18,1,0,0,1711,59,47,1,High
22,1,0,3,2215,27,164,0,Medium
4,0,0,5,2606,5,111,1,Medium
13,1,1,8,4644,35,282,0,High
0,0,0,8,1631,41,287,0,High
17,1,0,8,627,47,286,1,High
7,1,0,1,4907,54,227,0,High
14,1,1,7,3558,43,259,0,High
23,1,0,1,424,38,240,0,Medium
9,1,0,3,1311,48,159,0,High
10,0,1,7,3062,37,15,1,High
10,0,1,4,3468,38,67,0,High
16,0,1,8,2091,28,296,0,High
13,0,1,6,4581,5,295,0,High
21,0,0,3,3849,52,288,0,High
19,0,0,7,457,39,126,1,Medium
6,1,0,2,1577,57,7,0,Medium
7,1,0,6,1087,27,97,1,High
4,0,1,1,4796,51,75,0,High
13,0,1,6,1857,23,253,1,High
12,1,0,2,4641,27,194,0,Medium
19,0,0,3,1811,38,79,1,High
4,0,1,1,2369,58,93,1,High
17,0,0,7,3529,24,254,0,Medium
18,1,1,3,4777,35,153,1,High
13,1,0,3,3950,31,210,0,High
0,0,1,2,3150,6,44,0,Medium
23,1,1,6,3574,26,13,0,High
11,1,0,8,3506,59,234,0,High
7,1,1,4,3895,47,275,1,High
19,1,1,1,4486,36,8,0,High
20,0,1,1,381,15,161,0,Low
12,1,0,6,4827,16,129,1,High
9,1,1,8,2167,26,183,1,High
18,1,0,1,611,25,240,1,Medium
19,0,1,2,3396,43,141,0,Medium
21,1,0,7,333,59,14,1,Medium
19,1,0,8,2757,42,186,1,High
11,0,0,3,2705,54,161,1,High
14,0,1,6,4740,12,192,1,High
11,1,1,1,2144,33,195,1,High
9,0,0,4,4927,26,273,1,Medium
4,0,0,8,1081,21,207,1,High
3,1,0,0,856,20,179,0,Low
13,1,1,2,2623,21,179,0,Medium
19,0,1,0,441,30,20,0,Low
14,1,1,6,1271,59,31,1,High
17,1,0,0,3678,34,68,0,Medium
16,1,1,0,2181,33,257,1,High
21,1,0,2,1837,26,66,0,Medium
20,1,0,2,3668,5,172,0,Medium
6,1,1,8,896,52,241,0,High
21,1,0,8,2013,39,83,0,High
14,1,1,1,4145,40,40,1,High
18,0,1,1,2001,25,77,0,Medium
9,0,0,1,3146,46,73,1,Medium
12,1,0,2,4507,10,107,0,Medium
5,1,0,6,2662,51,163,1,High
2,0,1,1,3203,54,136,1,High
23,0,0,5,1392,53,96,1,High
6,0,1,6,782,39,69,1,Medium
14,0,0,5,3075,41,188,0,High
17,0,0,0,117,41,249,0,Low
12,1,1,8,3502,24,73,1,High
18,1,1,8,2608,2,23,0,High
12,1,1,5,3550,33,154,0,High
4,1,0,8,2508,35,285,0,High
11,0,0,1,2673,16,28,1,Medium
4,1,0,2,3464,3,270,1,High
13,0,0,8,4311,1,221,1,Medium
1,1,1,1,1488,51,159,0,High
8,1,1,1,1843,15,250,1,High
17,0,1,8,1149,21,204,0,High
1,1,0,5,3864,44,97,0,High
19,0,1,4,1528,56,163,1,High
13,1,0,8,4160,58,74,0,High
11,1,1,2,1804,9,273,0,High
3,1,0,8,785,1,193,0,Medium
12,0,1,1,222,47,15,0,Medium
22,1,1,0,3612,44,211,1,High
1,0,0,7,1711,34,200,0,High
20,1,1,7,979,3,51,0,Medium
11,1,0,0,425,11,91,0,Low
18,0,1,4,2134,37,281,1,High
7,0,1,4,178,1,253,0,Medium
7,1,1,7,831,28,132,1,Medium
17,1,0,0,4646,40,22,0,Medium
23,1,1,8,1399,28,223,1,High
23,0,0,3,4625,37,138,0,Medium
5,1,1,3,2687,9,108,1,High
23,0,0,2,2141,55,229,0,Medium
2,0,0,5,3737,51,178,0,High
16,1,1,6,2646,38,63,1,High
7,0,0,5,15,17,175,1,Low
2,1,0,4,2683,19,113,1,High
6,1,0,6,4865,7,127,0,Medium
8,0,1,4,521,45,244,0,Medium
9,1,0,1,1562,37,70,0,Medium
16,0,1,1,1755,0,292,1,Medium
10,0,1,3,3957,26,81,1,High
7,1,1,4,4701,37,180,0,High
11,1,1,5,3867,1,191,0,High
1,0,0,4,295,56,70,1,Medium
18,1,0,6,266,33,21,1,Medium
8,1,0,6,2458,27,7,0,Medium
22,1,0,7,3679,21,72,0,Medium
15,0,1,1,634,35,69,1,Medium
20,1,0,5,477,16,65,1,Medium
1,1,0,2,2318,36,81,0,High
0,0,0,8,253,15,277,1,Medium
12,0,1,6,3765,27,24,0,Medium
23,1,1,0,4431,11,181,1,High
2,0,1,7,3105,19,60,1,High
1,1,0,3,323,0,183,0,Medium
19,0,0,5,2158,7,295,1,Medium
17,1,1,8,295,31,156,1,High
22,1,0,8,915,41,27,1,Medium
19,1,0,1,2604,48,95,0,Medium
10,0,1,1,1278,45,224,1,High
23,1,1,1,4572,47,299,1,High
17,0,0,5,3719,30,293,0,Medium
20,0,1,7,2735,52,109,1,High
13,1,0,0,3101,45,39,0,Medium
3,0,0,6,1628,18,291,1,High
11,0,0,1,459,59,120,1,Low
17,1,1,7,1727,34,138,0,High
6,0,1,6,699,10,133,0,Medium
3,1,0,2,4387,24,7,1,Medium
5,0,0,7,2099,3,101,1,Medium
23,1,0,6,3517,57,239,1,High
18,1,1,6,2949,56,211,0,High
4,1,0,7,3329,53,264,1,High
6,0,1,8,3187,32,58,1,High
17,1,0,0,954,21,133,1,Low
3,0,0,0,815,2,208,0,Low
21,1,1,7,2998,8,232,0,High
3,1,0,5,700,35,22,1,High
22,1,0,5,2750,40,123,1,High
6,1,0,8,1920,11,22,0,Medium
1,0,1,4,4036,30,96,1,High
22,0,1,5,1337,47,199,0,High
3,1,0,0,4724,30,265,1,High
15,0,1,8,54,31,229,0,Medium
21,0,1,6,114,5,18,1,Medium
8,0,1,4,4264,7,233,1,High
11,0,1,0,590,26,237,0,Low
6,1,0,7,2811,44,270,1,High
21,0,0,6,2321,58,265,1,High
6,1,1,2,3710,57,85,0,High
6,1,0,4,3521,55,120,0,High
10,1,0,4,4187,0,103,0,Medium
17,1,1,8,4309,23,72,0,High
4,1,0,5,3773,34,270,0,High
11,1,1,0,1938,17,184,1,High
11,1,1,8,1610,11,33,0,High
6,0,1,4,1563,49,42,1,High
11,0,1,6,529,17,263,0,Medium
19,0,0,0,2391,5,125,1,Medium
2,0,1,6,3200,17,139,1,High
3,1,0,7,1912,59,46,1,High
15,0,0,0,4117,8,231,1,Medium
8,1,1,0,1620,11,6,0,Medium
15,0,1,8,517,29,260,0,Medium
4,0,1,3,4664,50,296,0,High
14,0,0,6,4770,31,242,1,High
20,0,1,8,2038,52,84,1,High
2,0,0,0,2980,2,244,0,Medium
5,1,1,4,4286,43,166,1,High
5,0,0,5,2362,8,161,1,Medium
7,0,1,7,4342,8,136,1,High
17,0,1,1,4486,60,53,0,Medium
19,1,1,0,987,12,278,0,Medium
21,1,0,4,3009,47,93,1,High
6,1,1,6,1316,6,272,0,High
16,1,1,7,1119,27,300,1,High
2,1,0,2,3719,34,89,0,High
11,0,0,7,2949,12,82,0,Medium
12,1,1,2,4893,24,286,0,High
1,0,0,0,1384,11,180,1,Medium
23,1,1,4,3569,25,173,0,High
7,0,1,7,1431,2,189,1,High
21,1,0,4,2289,53,222,0,High
0,1,1,5,4280,58,132,1,High
20,0,1,5,622,49,268,1,High
18,0,1,1,2089,42,80,0,Medium
3,0,0,1,2509,59,172,0,Medium
16,1,0,8,2435,58,200,0,High
0,0,1,0,4239,33,49,1,High
8,1,1,8,3966,22,59,0,High
3,0,1,3,4393,15,185,1,High
2,1,1,8,214,0,178,0,Medium
4,0,1,6,1722,32,162,1,High
23,1,0,4,4035,45,277,1,High
6,1,0,4,617,16,87,0,Medium
0,0,0,8,1243,31,23,1,High
7,1,0,4,3122,47,195,1,High
3,0,0,5,1700,39,10,0,High
9,0,0,7,1045,20,218,0,Medium
13,0,1,5,1132,15,20,1,High
23,1,1,0,1971,43,91,1,High
21,0,0,8,4757,29,220,1,Medium
13,0,0,4,217,3,234,0,Low
12,0,1,2,323,24,219,1,Medium
9,1,1,2,448,59,213,1,High
10,1,0,7,3818,57,56,1,High
5,1,1,3,4160,52,224,1,High
2,0,1,1,1465,52,238,0,High
8,0,0,6,3629,0,279,1,Medium
22,1,1,3,1439,38,95,1,High
3,1,1,3,1178,13,185,0,High
16,0,1,0,1727,38,29,1,High
13,0,0,6,1283,55,240,0,High
19,1,0,4,1935,17,30,0,Medium
5,0,0,2,2499,37,185,1,Medium
23,1,0,1,1439,58,46,0,Medium
16,1,1,3,3689,46,199,0,High
5,1,0,3,4627,31,80,0,High
19,0,0,6,3089,38,287,1,High
19,1,0,3,913,43,254,1,High
8,0,0,3,4392,38,10,0,Medium
19,1,1,0,3716,5,170,1,High
16,0,1,8,3836,21,90,1,High
4,1,0,0,2283,53,190,0,High
13,1,0,7,4291,8,64,1,High
1,0,0,5,2221,40,224,0,High
22,1,0,1,516,29,131,1,Low
5,1,1,4,4992,42,226,1,High
23,0,1,0,4663,58,123,0,Medium
10,1,0,0,3005,38,238,0,High
21,1,1,5,3770,21,70,0,High
6,1,1,0,3514,34,238,1,High
9,0,0,6,1728,23,221,0,Medium
6,0,0,8,2923,41,229,1,High
3,0,0,4,4521,48,162,0,High
22,0,0,6,3809,32,139,0,Medium
0,1,1,7,1986,24,269,1,High
21,1,0,5,3335,42,131,0,High
14,1,1,2,266,52,84,0,Medium
13,0,0,8,1178,28,162,0,Medium
2,0,1,1,806,20,55,0,Low
0,1,0,7,2655,13,275,0,High
20,0,0,7,3179,8,35,0,Medium
2,1,0,6,220,35,194,0,High
14,0,1,7,2037,38,13,0,High
4,0,0,4,1742,4,66,1,Medium
13,1,0,1,546,60,15,0,Medium
4,0,1,7,3299,26,168,0,High
3,1,0,3,2906,27,85,1,High
21,1,1,4,2046,51,231,0,High
13,0,0,2,4777,45,289,1,Medium
1,1,0,8,1873,16,47,0,High
22,1,0,7,4076,0,23,0,Medium
22,0,1,6,4681,57,34,1,High
4,0,1,8,1935,25,204,1,High
15,0,1,4,2236,53,282,0,High
1,1,1,6,358,1,176,0,Medium
11,1,0,2,2761,28,66,0,Medium
15,0,0,4,2378,12,238,0,Medium
1,0,0,0,4403,37,46,0,Medium
4,1,1,8,1749,42,101,0,High
16,1,0,4,2877,56,15,0,High
20,0,0,8,1697,32,133,0,Medium
12,0,1,0,2914,10,199,0,Medium
16,1,1,0,4898,38,273,0,High
6,1,1,6,4428,30,196,0,High
21,0,0,2,1744,52,34,0,Medium
5,0,1,4,2522,47,192,0,High
17,0,1,3,903,12,51,1,Medium
5,0,1,4,2691,39,206,0,High
5,0,0,2,1515,19,258,1,Medium
21,0,1,6,2093,18,181,0,High
21,0,1,8,812,28,209,1,Medium
19,1,0,2,4653,7,74,0,Medium
7,1,0,3,2014,12,216,0,High
6,1,0,8,570,0,286,1,Medium
10,0,0,2,407,36,30,0,Low
18,0,1,3,1984,44,6,1,High
20,1,0,1,4035,41,110,0,Medium
22,0,0,3,1442,16,71,1,Medium
22,1,1,1,614,23,49,0,Medium
2,1,0,0,4979,0,135,1,Medium
0,0,1,8,886,39,102,1,High
4,0,0,8,2338,49,165,0,High
1,1,1,3,2102,33,96,1,High
13,0,0,0,4522,54,51,1,Medium
17,0,1,6,2780,59,263,0,High
2,1,0,3,4350,9,239,1,High
22,0,1,0,873,3,67,0,Low
0,1,0,1,4920,43,285,1,High
10,0,0,7,2086,48,108,1,High
2,0,0,1,62,50,41,1,Medium
13,1,0,5,3461,33,151,0,High
10,1,1,6,920,26,191,1,High
9,1,0,3,1460,9,244,1,High
23,1,0,3,4983,51,190,1,High
23,0,0,1,1196,5,162,1,Medium
6,1,1,8,1503,27,178,0,High
1,1,1,7,1456,0,299,1,High
12,0,1,7,4158,12,48,1,High
17,1,1,4,3234,38,76,0,High
8,1,0,4,4237,11,204,1,High
6,0,0,0,2159,35,64,1,Medium
8,0,1,7,61,8,11,1,Medium
22,0,0,7,15,10,83,1,Low
23,1,1,0,195,3,259,0,Medium
1,0,1,5,1263,32,58,0,High
10,0,1,2,4209,46,18,1,High
5,1,1,8,2825,40,103,0,High
19,0,1,5,800,57,197,1,High
23,0,1,2,4924,39,138,0,Medium
14,0,0,1,4868,8,205,0,Medium
1,1,0,2,2,26,207,0,Medium
15,1,1,2,1884,48,149,1,High
11,1,1,8,3248,24,118,0,High
14,0,1,6,3813,35,300,1,High
21,1,1,2,2132,9,271,1,High
22,1,0,0,399,6,288,0,Low
2,1,0,8,3780,29,293,0,High
14,1,0,7,668,14,230,0,Medium
13,0,0,8,3505,10,103,0,Medium
23,1,0,1,1489,12,76,0,Medium
23,1,0,7,1892,28,149,0,Medium
2,1,1,4,1774,5,6,0,High
