login_hour,new_device,new_location,failed_logins,files_downloaded,commands_executed,session_duration,weekend_login,risk
18,0,1,3,3550,20,5,0,Medium
23,0,0,6,1681,12,292,1,Medium
11,0,0,6,3243,19,79,1,Medium
20,0,0,3,1077,55,255,0,High
22,1,1,0,4345,55,158,1,High
2,0,0,4,1962,38,91,1,High
18,1,1,4,484,21,173,0,Medium
8,0,0,3,2318,23,56,0,Medium
12,0,0,5,3656,12,61,0,Medium
14,0,0,2,4672,8,296,0,Medium
6,1,1,6,309,28,287,0,Medium
4,1,1,4,459,0,203,0,High
0,1,0,3,4267,60,199,0,High
8,0,1,3,3100,22,273,0,High
16,1,0,7,3017,18,20,0,Medium
6,0,0,0,3939,8,247,1,Medium
14,0,1,0,1840,10,104,0,Medium
13,0,0,0,4399,43,114,1,Medium
1,0,1,1,2218,58,126,0,High
8,1,0,6,129,38,263,0,Medium
14,1,0,5,455,20,44,1,Medium
5,1,0,5,1217,18,130,0,Medium
4,0,1,3,3266,38,272,0,High
12,0,0,3,4332,32,72,1,High
23,0,0,4,4602,41,284,1,High
18,0,0,3,1567,8,82,0,Medium
8,1,0,2,2426,39,10,1,High
9,0,1,3,4342,45,162,0,High
2,1,1,0,1383,38,103,0,High
16,0,1,2,1234,12,298,1,Medium
12,0,1,6,464,25,79,0,Medium
9,0,0,4,4525,45,291,1,High
4,0,1,5,3407,32,233,0,High
13,0,1,7,1927,28,201,0,High
19,1,0,7,4642,39,245,0,High
0,0,1,3,2356,14,28,0,High
3,1,1,3,3876,58,37,1,High
1,1,1,7,2705,44,220,1,High
23,0,1,0,4683,14,247,1,Medium
13,0,1,2,704,47,46,1,Medium
9,1,1,0,4254,51,76,0,High
12,0,1,4,1026,6,242,0,High
4,0,1,8,1209,57,31,1,High
22,1,0,6,1255,38,262,0,High
22,0,1,4,1886,5,58,1,High
16,1,1,3,4852,55,260,0,High
4,1,0,5,352,60,292,1,High
19,0,0,5,3446,60,57,1,High
5,1,0,7,3894,26,95,1,High
1,0,0,5,1060,45,52,0,High
11,0,1,8,292,17,217,0,Medium
11,0,1,1,1180,7,197,1,Medium
21,1,0,7,4445,5,129,0,Medium
8,0,0,4,2909,24,92,0,Medium
19,1,1,7,1605,24,30,1,High
19,1,1,4,3397,54,300,0,High
10,1,1,6,607,14,188,0,Medium
1,0,0,3,2151,18,141,0,Medium
22,0,1,6,2886,45,18,0,High
7,1,1,6,464,44,178,0,High
14,1,1,6,2638,26,16,1,High
0,0,1,2,260,37,83,1,Medium
5,0,1,5,4198,9,275,1,High
14,1,0,1,2994,58,190,1,High
6,0,0,1,267,48,45,0,Low
16,1,0,1,3829,26,148,1,Medium
5,1,0,2,3339,3,128,1,Medium
7,0,0,2,3147,58,97,1,Medium
20,0,1,0,3043,17,285,1,Medium
22,1,0,3,1553,37,150,1,High
23,0,1,7,1057,55,202,1,High
20,0,0,8,1634,5,181,0,Medium
22,0,0,8,2441,9,100,1,Medium
21,0,0,5,2277,25,172,1,Medium
5,1,0,7,2700,30,45,0,Medium
9,1,1,1,1438,12,293,0,High
12,1,0,1,4451,39,206,1,High
15,1,1,2,4504,44,195,0,High
14,0,0,5,1312,16,85,1,Medium
6,0,0,0,260,17,22,1,Low
0,1,1,8,687,43,144,0,High
10,0,0,1,213,4,234,0,Low
3,1,0,3,4776,48,298,0,High
22,0,0,8,1039,50,269,1,High
5,1,1,2,3395,26,13,1,High
20,1,1,5,202,44,237,0,High
21,0,1,6,3942,28,187,0,High
9,1,1,7,4461,28,144,1,High
18,1,1,1,533,23,140,1,Medium
21,0,1,6,3718,34,249,1,High
21,1,1,7,1625,18,252,1,High
6,1,1,1,2929,17,119,1,High
20,1,0,3,2936,46,214,0,High
6,0,1,4,224,50,123,1,Medium
17,1,0,4,1624,43,62,0,High
0,0,1,0,456,21,248,1,Medium
14,0,1,7,2545,33,167,1,High
9,0,0,0,4358,1,172,1,Medium
17,1,1,0,4396,15,219,1,High
1,0,1,0,1036,32,109,0,High
8,1,0,3,4437,45,66,0,High
12,0,0,7,842,19,217,0,Low
5,1,0,1,454,57,272,1,Medium
21,0,0,5,4894,56,138,1,High
21,1,1,7,241,56,57,0,High
17,1,0,1,203,31,7,0,Medium
4,1,0,8,2948,33,59,0,High
14,1,1,6,1576,16,213,1,High
5,1,1,7,189,26,61,0,Medium
18,1,0,8,4164,40,95,1,High
9,1,0,4,99,4,222,0,Medium
0,0,1,8,1125,59,102,1,High
3,1,0,0,3157,7,200,1,High
14,1,0,8,1913,44,256,0,High
3,0,1,4,1035,59,145,0,High
19,0,0,3,3046,16,123,0,Medium
13,0,0,6,2339,31,64,1,High
19,1,1,4,769,46,67,1,High
6,1,0,8,1672,2,197,1,High
10,0,1,6,4395,29,233,0,High
22,1,1,6,2150,6,6,1,High
17,1,0,0,3762,25,199,0,Medium
20,0,1,6,3806,36,197,0,High
6,0,1,6,3752,44,214,1,High
2,0,0,6,3343,20,292,0,Medium
5,1,0,6,3864,6,213,1,High
5,1,0,2,1483,2,146,1,Medium
7,1,1,3,4309,36,59,0,High
12,1,0,0,2485,51,232,0,High
1,1,1,5,137,60,117,0,High
0,0,0,0,3563,60,9,1,Medium
6,1,1,1,4014,27,234,1,High
21,1,0,0,2221,18,233,0,Medium
16,0,1,5,3906,26,233,1,High
13,1,1,6,309,10,186,0,Medium
6,1,0,4,2142,45,208,0,High
6,1,0,0,1914,7,277,0,Medium
13,1,1,6,2022,26,218,0,High
16,0,0,0,3970,16,260,1,Medium
11,0,1,7,1727,29,160,1,High
15,0,0,6,683,5,42,0,Low
16,1,0,6,3042,29,248,0,High
15,1,0,3,2649,20,181,0,High
14,0,1,8,365,42,261,0,Medium
10,0,0,1,1127,45,18,1,Medium
16,1,0,4,4477,54,241,0,High
23,0,1,6,3229,23,141,1,High
9,0,0,8,2606,51,186,0,High
15,1,1,2,4351,45,13,0,High
9,0,1,8,3955,52,249,1,High
23,0,1,6,847,48,114,1,Medium
11,1,0,4,2417,17,66,0,Medium
17,0,1,2,3007,26,120,0,Medium
10,1,0,1,4322,59,58,0,Medium
2,0,1,7,3728,44,286,0,High
18,1,1,3,4846,37,126,0,High
9,1,1,1,2709,9,208,0,High
23,1,0,7,2969,7,222,0,High
6,0,0,8,4292,2,169,0,Medium
6,0,0,5,3514,15,115,0,Medium
1,0,0,6,334,13,275,1,Medium
14,1,1,6,3008,7,196,1,High
1,1,1,6,1986,47,259,1,High
7,0,1,8,2836,36,136,0,High
22,1,1,0,3513,2,66,0,Medium
15,0,0,4,958,57,42,1,Medium
18,1,1,8,4110,51,192,0,High
21,0,1,7,3330,29,53,1,High
15,1,1,3,1255,15,290,0,High
18,1,0,2,4576,19,56,1,Medium
19,1,0,0,1425,22,68,1,Medium
7,1,0,1,2986,13,296,0,Medium
14,0,0,5,659,4,244,0,Low
5,1,1,6,3435,60,299,0,High
3,0,1,5,3726,21,127,0,High
16,0,1,6,1544,56,170,0,High
22,0,0,0,4944,41,291,0,Medium
16,1,0,0,726,3,57,1,Low
18,0,1,5,4051,49,162,0,High
0,0,0,2,1105,26,77,0,Medium
16,0,1,3,4336,4,294,1,High
11,0,1,6,3125,49,128,1,High
7,0,1,6,153,41,238,0,Medium
14,0,1,7,1706,51,70,1,High
3,1,0,3,402,3,133,1,Medium
11,1,0,3,3374,19,15,0,Medium
20,0,0,6,3523,22,148,0,Medium
9,0,1,5,2698,12,282,0,High
16,1,0,3,4924,56,125,1,High
23,1,0,7,4441,41,231,0,High
9,1,0,7,4700,33,299,0,High
11,1,0,2,4161,52,118,0,Medium
1,0,1,0,3940,37,295,1,High
9,1,1,0,3950,3,84,1,High
2,0,1,1,2410,56,10,1,High
14,0,1,8,2424,29,166,0,Medium
6,0,1,0,2109,11,128,1,Medium
23,0,1,5,3292,10,260,0,High
10,1,0,8,3478,42,245,0,High
1,1,1,7,350,26,77,1,High
8,0,1,6,2008,16,252,0,High
21,0,0,2,4441,29,101,0,Low
20,0,0,1,4314,23,288,0,Medium
0,0,1,7,1502,18,51,1,High
22,1,0,8,296,56,16,0,Medium
15,0,1,1,125,57,256,0,Medium
19,0,0,3,241,53,187,1,Medium
2,1,0,6,724,37,220,1,High
5,0,1,0,351,29,292,1,Medium
1,0,0,8,433,21,260,0,Medium
0,0,0,8,2686,21,294,1,High
22,1,0,5,2277,42,93,1,High
15,1,0,3,4767,57,8,1,High
15,1,1,6,273,43,166,0,High
11,0,0,2,396,11,47,0,Low
23,1,1,8,2050,27,212,0,High
11,0,0,3,1690,35,163,0,Medium
16,1,1,2,4560,2,215,1,High
1,0,1,4,1905,37,299,0,High
9,1,1,0,3040,22,245,1,High
10,1,1,3,360,24,30,1,Medium
16,1,1,0,4600,32,196,1,High
9,1,0,3,4191,42,253,0,High
7,0,0,5,4553,45,60,0,Medium
5,1,0,8,4265,21,32,1,High
3,1,1,3,4157,36,81,1,High
19,0,1,4,767,34,95,0,Medium
23,1,1,5,3321,9,29,0,High
8,0,1,7,4481,25,277,1,High
0,1,1,8,1999,33,236,1,High
10,0,1,3,973,10,294,0,Medium
11,1,0,6,2832,56,17,1,High
19,1,1,8,63,41,226,1,High
19,0,0,6,278,12,49,1,Low
12,1,1,7,954,14,163,0,Medium
1,1,0,1,471,28,49,0,Low
19,0,1,1,4608,21,223,0,Medium
8,0,1,6,763,16,275,1,Medium
10,0,0,6,1893,11,32,0,Medium
7,1,1,0,2698,17,282,1,High
7,0,1,1,242,54,230,1,Medium
15,0,1,7,3298,17,5,1,High
13,0,1,3,4291,46,6,1,High
17,1,1,4,2929,14,212,1,High
2,0,1,7,4707,54,111,1,High
19,0,1,4,4185,41,80,0,High
17,1,1,0,3301,20,247,1,High
5,1,0,7,1897,18,238,1,High
12,1,0,1,183,6,16,0,Low
17,0,1,1,1088,17,138,0,Medium
22,1,0,7,543,32,89,1,Medium
18,0,0,7,1077,7,141,1,Medium
7,0,1,3,4373,38,265,0,High
8,1,0,4,1919,24,194,0,High
11,0,1,5,3717,60,16,0,High
15,0,1,1,97,60,251,1,Medium
12,1,1,8,2112,6,80,1,High
12,1,0,7,2252,44,143,0,High
10,1,0,5,2124,43,79,0,High
18,1,0,5,2745,8,103,1,High
8,0,1,3,784,22,221,0,Medium
10,1,0,8,2803,32,115,1,High
18,0,0,4,4073,14,211,0,Medium
2,0,0,3,3797,60,235,1,High
3,0,1,3,2978,19,258,1,High
12,0,0,7,1396,22,50,0,Medium
15,0,1,4,3397,49,189,0,High
2,0,1,0,1578,18,255,1,High
1,1,1,8,1452,25,145,1,High
4,0,1,0,4377,34,204,0,High
21,0,0,5,124,12,86,1,Low
21,0,1,5,4131,2,294,0,High
0,0,0,6,3844,45,208,0,High
13,0,1,5,3428,42,107,1,High
1,1,0,0,2724,32,124,1,High
9,0,1,0,4286,53,108,0,Medium
21,0,1,8,1400,53,69,1,High
8,0,0,2,3999,29,113,1,Medium
8,0,1,2,3287,11,237,1,Medium
15,0,1,6,3820,43,180,1,High
22,1,0,6,533,0,268,1,Medium
23,1,0,2,2716,12,57,0,Medium
10,1,1,7,1111,5,260,0,High
20,0,0,4,2226,0,262,1,Medium
6,0,1,4,1148,56,209,0,High
23,0,0,5,3817,32,295,0,High
15,0,0,4,2006,23,130,0,Medium
9,1,0,0,554,17,119,1,Low
21,1,1,6,4757,45,197,1,High
6,0,1,6,1815,15,29,0,Medium
4,1,1,2,2848,4,137,1,High
15,0,1,7,3520,9,61,1,High
9,1,0,3,1934,56,55,0,High
16,0,0,6,4512,42,10,0,Medium
11,1,1,7,4047,37,14,1,High
20,0,1,2,913,15,30,0,Low
17,0,0,3,4422,51,136,1,High
23,0,1,4,1754,28,252,0,High
16,1,1,2,2328,30,135,1,High
21,0,0,4,2223,13,277,1,Medium
5,0,0,7,2731,3,157,1,Medium
21,1,0,5,1103,1,198,0,High
21,1,0,1,3344,36,20,1,High
8,0,0,6,2765,11,181,0,Medium
19,0,0,4,455,51,274,1,Medium
0,1,1,1,4746,25,166,0,High
17,1,1,2,2461,0,41,0,Medium
2,0,0,7,4543,32,21,0,High
7,0,0,8,4567,46,209,1,High
6,0,1,0,4135,23,199,1,Medium
17,1,1,7,3335,46,297,0,High
8,0,1,3,2883,42,51,0,High
4,0,1,8,1571,20,148,1,High
2,1,0,2,2646,57,42,1,High
22,1,1,2,2022,29,9,1,High
1,1,1,3,356,17,286,1,High
19,1,1,3,2553,9,161,0,High
9,0,1,6,4470,12,97,0,Medium
15,1,1,2,3389,30,85,1,High
11,1,1,3,2965,56,218,0,High
9,0,1,7,712,47,168,1,Medium
23,0,0,2,1691,7,249,0,Medium
21,0,0,8,2810,22,267,0,Medium
1,1,0,7,3559,34,269,1,High
20,1,1,8,3788,32,171,1,High
15,0,1,2,1372,27,54,0,Medium
11,0,0,1,4148,44,245,0,Medium
0,0,0,5,151,4,75,1,Medium
22,1,1,0,4266,24,165,1,High
23,0,1,5,1194,0,243,1,High
15,1,0,1,4846,41,151,0,Medium
7,1,1,2,3634,40,289,0,High
18,1,1,3,3342,1,82,1,High
16,0,1,5,2992,13,62,1,High
10,1,1,7,2130,3,187,0,High
2,1,0,6,2529,47,55,0,High
18,1,1,5,1475,2,63,0,High
19,0,1,3,326,59,103,0,Medium
15,0,1,5,3064,38,297,0,High
13,0,0,3,125,34,17,0,Medium
20,0,1,7,1786,24,61,1,High
3,1,0,0,2959,53,36,1,High
22,0,1,6,3751,32,299,0,High
4,1,1,7,3476,38,67,1,High
1,1,0,3,4350,24,203,0,High
15,1,1,1,4096,17,33,0,Medium
8,1,1,2,2520,50,292,1,High
0,0,0,0,3006,4,58,0,Medium
0,1,1,3,1877,27,22,1,High
13,1,1,8,763,34,163,0,High
7,1,1,6,1189,51,110,1,High
14,1,1,6,3345,54,52,1,High
6,1,1,8,703,5,279,0,Medium
6,1,1,7,1806,8,69,0,High
0,1,0,0,3438,6,196,0,Medium
4,1,0,3,2657,12,297,1,High
17,1,0,4,2559,16,226,1,High
8,1,0,5,1900,45,293,1,High
8,0,1,1,3450,53,183,0,High
4,1,1,5,2577,50,205,0,High
5,0,0,1,565,21,64,0,Low
1,0,0,6,1121,51,188,0,High
17,1,1,1,432,35,251,0,Medium
21,1,1,2,3825,2,192,0,High
8,1,0,3,4575,7,57,1,High
15,0,0,3,4746,44,243,0,High
0,0,0,6,4334,2,26,0,Medium
4,1,1,2,2057,29,233,0,High
9,0,0,8,4781,13,110,0,Medium
0,0,0,3,1358,11,213,0,Medium
20,0,1,6,2257,35,190,1,High
8,1,0,0,2506,22,144,0,Medium
1,0,0,2,2708,27,225,1,Medium
20,0,0,2,595,46,42,1,Low
9,0,0,0,574,19,48,1,Low
7,1,0,6,3396,22,86,1,High
18,0,1,3,3137,28,230,0,High
19,1,0,0,474,12,108,0,Low
3,0,1,7,1404,39,176,0,High
3,0,0,0,2626,14,252,0,Medium
5,1,1,3,679,10,110,0,Medium
16,1,0,8,148,46,68,1,Medium
19,0,1,7,2667,11,169,1,High
20,1,0,0,4940,13,182,0,Medium
11,0,0,3,3427,23,144,1,Medium
15,0,1,5,1849,59,147,0,High
16,0,1,1,2985,47,260,0,High
2,1,0,5,3320,44,141,0,High
2,0,0,5,3995,57,161,0,High
12,0,1,7,2314,60,18,0,High
4,1,0,5,3510,32,294,0,High
12,0,1,3,1,46,11,1,Medium
5,1,0,4,4924,0,180,0,Medium
11,1,1,5,1191,22,233,1,High
2,0,0,8,2359,5,209,1,High
20,1,1,3,1508,18,110,0,High
19,1,1,4,2592,55,135,0,High
14,0,1,6,4196,4,208,1,High
8,0,1,4,4659,1,99,0,Medium
10,1,1,0,2122,14,85,0,Medium
1,1,0,0,1881,32,244,0,High
17,0,0,0,1298,30,44,0,Low
20,1,1,7,4655,11,168,1,High
10,0,0,8,985,58,289,1,Medium
18,1,1,0,1908,20,229,0,High
16,0,1,2,3828,14,202,1,Medium
19,1,0,2,2273,40,296,1,High
18,1,0,7,4922,21,178,1,High
1,1,1,4,2773,30,130,1,High
12,0,1,1,1331,59,19,0,Medium
11,0,1,1,1542,12,82,1,Medium
4,1,0,7,2420,31,80,1,High
23,1,0,3,4673,5,80,1,High
18,0,1,3,2440,11,145,0,Medium
3,1,0,4,2965,38,14,0,High
10,0,1,7,3886,22,54,1,High
6,1,1,3,1198,28,71,0,High
11,0,0,3,4867,19,258,1,Medium
19,0,0,2,157,18,13,1,Low
22,1,0,7,2329,17,43,1,High
21,0,0,6,2643,44,237,1,High
13,1,0,2,2948,18,268,1,Medium
18,0,1,7,2998,30,223,0,High
4,1,0,8,1254,33,108,0,High
4,1,0,6,4976,56,277,0,High
15,1,1,7,4847,45,216,1,High
11,1,1,1,4725,36,223,0,High
12,0,1,0,4379,21,296,1,Medium
9,1,0,2,1687,19,203,0,Medium
0,0,0,2,4679,11,239,0,Medium
18,0,0,6,2048,44,45,0,Medium
23,0,0,5,3968,31,50,1,High
13,0,0,7,732,16,153,1,Low
22,1,1,4,4943,48,42,1,High
21,1,0,5,2483,56,234,0,High
19,0,1,7,3719,10,58,1,High
3,1,1,3,4203,22,278,1,High
22,1,1,3,2239,9,116,0,High
6,0,0,4,3978,44,275,0,High
17,1,1,0,746,1,70,0,Medium
16,0,0,7,3087,29,181,0,Medium
8,0,1,2,799,58,54,1,Medium
7,0,1,4,2857,15,184,1,High
21,1,0,2,1033,17,274,0,Medium
3,1,1,5,3491,5,184,1,High
12,0,1,1,906,58,261,0,Medium
20,1,1,6,4577,38,65,0,High
7,1,1,5,3,4,284,0,Medium
17,0,0,3,4338,57,250,1,High
12,0,1,7,2965,47,173,0,High
10,1,1,1,4818,7,201,1,High
16,1,0,4,4948,33,246,0,High
15,1,1,2,233,0,123,0,Medium
6,1,0,3,2033,2,235,0,High
0,1,0,2,643,26,26,1,Medium
0,1,1,4,2384,22,147,0,High
12,0,0,0,1989,55,203,1,Medium
1,0,0,0,1305,13,39,0,Medium
20,1,1,3,1092,40,8,0,High
12,0,1,7,2167,44,273,0,High
5,0,0,8,57,57,123,1,Medium
12,0,1,8,3063,8,56,1,High
17,0,0,8,983,19,69,1,Low
19,0,0,6,4774,36,30,1,High
6,1,0,5,991,56,124,0,Medium
17,0,0,6,2818,37,183,1,High
15,0,0,0,4638,43,8,1,Medium
2,1,0,1,713,20,282,1,Medium
4,0,0,0,346,43,163,0,Low
1,1,0,5,2873,44,122,1,High
18,1,1,4,3985,0,50,0,High
7,0,0,7,3240,44,263,0,High
4,0,1,0,2967,19,15,0,Medium
4,1,0,8,2068,41,218,0,High
23,1,0,7,3321,10,8,1,High
19,0,0,1,1682,16,291,0,Medium
9,1,0,1,2533,19,130,1,Medium
12,1,1,0,984,19,123,0,Medium
10,0,0,4,2397,23,87,0,Medium
23,1,0,4,1610,21,265,1,High
5,0,0,2,2714,33,130,0,Medium
21,1,1,8,481,37,48,0,High
7,1,1,8,4576,10,14,0,High
17,1,0,1,631,5,217,0,Low
9,0,0,8,509,33,241,0,Medium
7,0,0,1,4622,4,252,1,Medium
11,0,0,1,2367,55,184,0,Medium
21,1,0,2,2324,19,212,0,Medium
5,0,0,4,550,7,71,1,Low
1,0,1,6,429,60,193,0,High
23,0,1,4,2468,37,39,1,High
6,0,0,8,1562,59,71,0,Medium
12,1,1,7,1253,24,102,1,High
12,1,0,6,4074,10,191,1,High
6,1,0,4,365,39,88,0,Medium
1,1,0,7,3747,36,116,0,High
19,0,1,1,646,8,86,0,Low
3,0,1,6,3746,27,21,1,High
23,1,1,4,2642,50,91,0,High
12,0,1,3,1416,15,269,1,High
6,0,1,5,4713,38,22,0,High
23,0,0,1,1879,14,69,1,Medium
23,0,0,7,1976,21,134,0,Medium
11,0,1,6,2591,4,63,0,Medium
17,0,0,8,3104,40,244,0,High
5,0,0,5,2533,29,62,1,Medium
2,1,0,6,3982,19,245,0,High
2,0,0,6,808,43,33,0,Medium
6,0,0,6,4788,5,33,0,Medium
22,1,0,2,3429,39,176,0,Medium
6,1,1,6,4333,12,98,0,High
2,0,1,7,1130,53,133,1,High
2,1,0,4,193,1,241,0,Medium
17,0,0,7,1321,12,139,0,Medium
4,1,0,0,4552,3,196,0,Medium
18,0,0,4,2346,31,136,0,Medium
6,1,0,8,537,43,197,1,High
5,1,1,3,3494,37,204,0,High
14,1,1,1,1178,56,234,1,High
3,1,0,0,4127,45,116,1,High
3,1,0,1,4903,28,105,1,Medium
1,0,0,2,3556,27,169,1,Medium
16,1,1,7,2643,24,127,1,High
6,0,0,3,4019,55,162,0,Medium
1,0,0,5,3870,53,7,0,High
4,0,1,5,4442,0,37,1,High
18,0,0,8,911,8,204,1,Medium
7,0,0,2,4265,17,184,1,Medium
22,1,1,3,3075,27,9,0,High
15,0,0,4,1618,14,126,1,Medium
21,0,0,1,981,47,156,1,Low
20,1,0,5,1672,28,286,0,High
7,0,0,8,2570,16,151,1,Medium
12,1,1,5,3814,29,118,1,High
0,0,0,6,3707,42,229,0,High
21,1,1,5,4912,58,213,1,High
0,1,0,5,4688,57,208,1,High
3,0,1,4,2313,32,103,1,High
1,1,0,4,2159,35,195,0,High
16,1,0,5,431,23,24,0,Medium
18,0,1,4,1826,44,17,1,High
21,1,1,0,4688,41,16,1,High
7,1,1,2,3079,28,168,1,High
6,0,1,0,137,8,56,1,Low
12,0,0,2,2284,4,53,0,Low
9,0,1,1,4447,1,96,1,Medium
11,1,1,6,1454,23,88,1,High
4,0,1,3,3526,40,34,1,High
16,1,0,5,4022,38,25,0,High
16,1,0,7,4525,39,143,0,High
19,1,0,7,1389,31,279,1,High
12,0,0,0,2993,22,289,1,Medium
19,0,0,4,450,48,70,0,Medium
4,0,0,8,2771,56,280,0,High
12,1,1,3,2204,53,95,1,High
2,1,0,7,2952,4,27,0,High
1,0,1,4,3713,16,230,1,High
22,0,0,8,2751,33,46,0,Medium
18,0,0,1,4748,36,34,1,Medium
17,0,0,2,3088,28,47,0,Low
0,1,0,0,1516,9,235,1,High
21,0,0,7,1511,0,30,0,Medium
1,1,0,0,3252,23,72,0,Medium
13,0,0,7,4023,24,152,0,Medium
13,1,0,3,2511,51,94,0,High
6,0,0,4,4211,59,274,1,High
11,1,0,7,2136,27,261,1,High
20,1,1,4,3880,6,180,1,High
3,1,1,0,4811,45,85,0,High
4,1,1,8,2172,54,99,1,High
12,0,0,8,1004,7,143,1,Medium
16,1,1,8,2366,24,227,0,High
18,1,0,2,3649,0,192,0,Medium
15,0,1,6,518,46,55,1,Medium
12,1,1,6,4160,60,289,0,High
3,0,0,3,3122,58,221,0,High
6,1,1,6,4414,39,129,0,High
7,1,1,6,4279,51,202,0,High
11,0,0,3,1091,5,244,1,Medium
7,1,0,2,4921,46,39,1,High
21,0,0,7,3842,21,118,0,Medium
20,0,0,5,2155,29,174,1,Medium
15,0,1,4,3019,16,165,1,High
17,0,1,7,425,34,278,0,Medium
4,1,1,2,2440,1,271,0,High
21,0,0,6,98,48,296,1,Medium
6,0,0,7,4595,16,285,1,Medium
3,0,0,8,2666,10,24,1,Medium
12,1,0,0,3991,60,189,0,High
14,0,0,8,4554,15,278,1,Medium
11,0,1,5,164,4,123,0,Medium
21,0,1,2,416,34,28,1,Medium
1,0,0,7,485,58,141,1,Medium
12,1,1,5,1224,0,267,1,High
14,0,0,5,428,40,74,1,Medium
8,1,0,3,1789,49,127,0,High
10,0,1,0,3876,48,87,1,High
2,1,0,3,1483,34,86,1,High
6,1,0,3,935,56,222,0,Medium
15,0,1,4,4790,45,43,1,High
6,1,1,4,1469,34,81,1,High
5,0,1,2,4127,25,218,0,Medium
21,1,0,0,4328,4,273,1,Medium
16,0,0,1,1846,52,168,0,Medium
14,0,1,4,1775,1,266,1,High
7,1,1,7,2615,10,46,0,High
17,0,0,5,4022,14,53,1,Medium
16,0,0,7,1274,2,35,0,Medium
7,0,1,0,2512,4,63,1,Medium
3,1,0,1,699,40,248,1,Medium
7,0,0,1,4400,56,88,1,Medium
6,0,1,1,4624,48,283,1,High
16,1,0,3,3327,20,190,0,High
19,0,1,0,421,44,146,0,Medium
14,1,0,5,2475,9,90,0,Medium
5,1,0,2,3015,43,51,1,High
11,1,0,8,2460,35,160,1,High
20,1,0,2,1984,23,212,1,Medium
20,1,1,4,2672,21,201,0,High
17,0,1,8,2869,12,268,0,High
0,0,1,7,1451,12,201,0,High
0,0,1,7,1413,42,136,1,High
